serial_number|name_of_forest|area_ha|location|distance_from_mumbwa_town_center_km|status|0|1|2|3|4|5
1.0|Sanje PFA 100|10864.0|Chimoto/ZAF|15.0|Not encroached||||||
2.0|Lutale PFA 350|2725.0|Mulendema|15.0|Slightly encroached||||||
3.0|Mumba PFA 60|13152.0|Mumba|40.0|Slightly encroached||||||
4.0|Nambala PFA 43|15289.0|Nambala|45.0|Slightly encroached||||||
5.0|Mushingashi PFA 351|11500.0|Mumba East|40.0|Heavily encroached||||||
6.0|Luba north PFA 225|4812.0|GMA (MUMBWA GMA)|100.0|Slightly encroached||||||
7.0|Luba south PFA 224|21052.0|GMA (MUMBWA GMA)|100.0|Not encroached||||||
||||||8|Kasanga PFA 226|10,065|GMA (KAINDU)|120|Not encroached
