programme_name|implementing_institution|start_date|target_wards|beneficiaries_to_date|funding_source|objectives|beneficiary_selection|target_groups|activity|source_url
Cash for Work|Mumbwa Town Council|September 2024|21 Wards|90,100+|Government of the Republic of Zambia|Temporary Income: Provide timely cash transfers to support household consumption and reduce vulnerability; Environmental Works: Drainage clearance, waste management and tree planting to improve public health; Local Infrastructure: Support small-scale construction, road opening and rehabilitation of public facilities; Skills & Inclusion: Offer practical skills and target women, youths and other vulnerable groups.|Priority is given to households identified by Ward Development Committees, focusing on the most vulnerable.|Vulnerable households; women-headed households; elderly; persons with disabilities|Community road clearing and formation|https://www.mumbwacouncil.gov.zm/?page_id=2883
Cash for Work|Mumbwa Town Council|September 2024|21 Wards|90,100+|Government of the Republic of Zambia|Temporary Income: Provide timely cash transfers to support household consumption and reduce vulnerability; Environmental Works: Drainage clearance, waste management and tree planting to improve public health; Local Infrastructure: Support small-scale construction, road opening and rehabilitation of public facilities; Skills & Inclusion: Offer practical skills and target women, youths and other vulnerable groups.|Priority is given to households identified by Ward Development Committees, focusing on the most vulnerable.|Vulnerable households; women-headed households; elderly; persons with disabilities|Bricklaying, site preparation and basic construction support|https://www.mumbwacouncil.gov.zm/?page_id=2883
Cash for Work|Mumbwa Town Council|September 2024|21 Wards|90,100+|Government of the Republic of Zambia|Temporary Income: Provide timely cash transfers to support household consumption and reduce vulnerability; Environmental Works: Drainage clearance, waste management and tree planting to improve public health; Local Infrastructure: Support small-scale construction, road opening and rehabilitation of public facilities; Skills & Inclusion: Offer practical skills and target women, youths and other vulnerable groups.|Priority is given to households identified by Ward Development Committees, focusing on the most vulnerable.|Vulnerable households; women-headed households; elderly; persons with disabilities|Drain and channel clearance|https://www.mumbwacouncil.gov.zm/?page_id=2883
Cash for Work|Mumbwa Town Council|September 2024|21 Wards|90,100+|Government of the Republic of Zambia|Temporary Income: Provide timely cash transfers to support household consumption and reduce vulnerability; Environmental Works: Drainage clearance, waste management and tree planting to improve public health; Local Infrastructure: Support small-scale construction, road opening and rehabilitation of public facilities; Skills & Inclusion: Offer practical skills and target women, youths and other vulnerable groups.|Priority is given to households identified by Ward Development Committees, focusing on the most vulnerable.|Vulnerable households; women-headed households; elderly; persons with disabilities|Water point maintenance and sanitation works|https://www.mumbwacouncil.gov.zm/?page_id=2883
