serial_number|dam_name|status|use
1.|Kandesha|-None Functioning -Currently Breached -Spillway needs rehabilitation -Embankment needs rehabilitation|-Irrigation of Crops -Animal Watering
2.|Chibila|-Functioning|-Urban Water Supply
3.|Myooye|-Needs spillway rehabilitation|-ZAF water supply -Animal Watering
4.|Chibuluma|Not Functioning -Currently Breached -Spillway needs rehabilitation -Embankment needs rehabilitation|-Irrigation of Crops -Animal Watering
5.|Mwamba Nabantu|Not Functioning -Currently Breached -Spillway needs rehabilitation|-Irrigation of Crops -Animal Watering
6.|Kabwanga|-Not Functioning|-Irrigation of Crops -Animal Watering
